Property,Address,Layout ,Location Description ,type,include
Whole Foods San Jose (The Alameda),"777 The Alameda, San Jose, California, 95126",4 - 80kw Chargers,Grocery Store Parking Lot - street level,hpcp,1
CIM - La Brea HPCP,"1302 South La Brea Ave., Los Angeles, California, 90019",3 - 80kw Chargers,Parking lot - street level ,hpcp,1
City of Sacramento - Southside Park HPCP,"2115 6th Street, Sacramento, California, 95818",6 - 150kw Charger,Curbside Charging ,hpcp,1
Chevron #207718 - Willow Road,"1399 Willow Rd, Menlo Park, California, 94025",3 - 50kw Chargers,Gas Station ,hpcp,1
Lucky Hayward (Santa Clara St) #716,"25151 Santa Clara St, Hayward, California, 94544",6 - 80kw Chargers,Grocery Store Parking Lot - street level,hpcp,1
Chevron #91965 - Santa Monica Blvd,"10867 Santa Monica Blvd., Los Angeles, California, 90025",4 - 80kw Chargers,Gas Station ,hpcp,1
Burlingame - Chula Vista Lot,"1133 Chula Vista Ave., Burlingame, California, 94010",4 - 80kw Chargers,City Parking Lot - street level,hpcp,1
Oakland - Lake Park,"519 Lake Park Ave., Oakland, California, 94610",6 - 80kw Chargers,City Parking Lot - street level,hpcp,1
South San Francisco - Miller Garage,"329 Miller Ave., South San Francisco, California, 94080",3 - 50kw Chargers,Public Parking Garage,hpcp,1
City of Foster City Police Station - HPCP,"1000 E. Hillsdale Blvd., Foster City, California, 94404",4 - 80kw Chargers,City Parking Lot (Police Station) street level,hpcp,1
UCLA - Lot 4,"Lot 4 Westwood Plaza, Los Angeles, California, 90095",6 - 80kw Chargers,Subterranean - parking garage on University Campus,hpcp,1
City of Millbrae - Broadway,"446 Broadway, Millbrae, California, 94030",3 - 50kw Chargers,City Parking Lot (Police Station) street level,hpcp,1
Rosecrans Plaza,"3156 Sports Arena Blvd, San Diego, California, 92110",6 - 50kw Chargers,Parking Garage for retail center,hpcp,1
SD CalTrans Dist. 11 HQ,"4050 Taylor St. Stop 250, San Diego, California, 92110",6 - 80kw Chargers,Parking Lot (Street Level),hpcp,1
Union 76 - Valley Village,"4654 Laurel Canyon Blvd, Valley Village, California, 91607",4 - 50kw Chargers,Gas Station ,hpcp,1
Veterans Memorial Park,"4117 Overland Ave, Culver City, California, 90230",3 - 50kw Chargers,City Parking Lot - street level,hpcp,1
Culver City Senior Center,"4095 Overland Ave, Culver City, California, 90230",3 - 50kw Chargers,City Parking Lot - street level,hpcp,1
Apollo Center,"10307 Lakewood Blvd 1041, Downey, California, 90241",3 - 50kw Chargers,Parking Lot (Street Level) for retail center,hpcp,1
1000 Van Ness,"1000 Van Ness, San Francisco, California, 94109",6 - 50kw Chargers,Parking Garage for retail center,hpcp,1
600 California,"600 California, San Francisco, California, 94101",6 - 50kw Chargers,Parking Garage for retail center,hpcp,1
8000 Sunset Strip,"8000 W Sunset Blvd, Los Angeles, California 90046",6 - 50kw Chargers,Subterranean - parking garage - retail,hpcp,1
Metro Point,"901 S Coast Dr., Costa Mesa, CA, 92626",3 - 50kw Chargers,Parking Garage for retail center,hpcp,1
San Francisco Civic Center ,"455 Golden Gate Avenue, San Francisco, CA 94102",4 - 80kw Chargers,City Parking Lot - street level,hpcp,1
Whole Foods Mill Valley (Blithedale),"731 E Blithedale Ave, Mill Valley, CA 94941",3 - 50kw Chargers,Grocery Store Parking Lot - street level,hpcp,1
Oakland - Lafayette Square,"610 E 10th St, Oakland, CA 94606",4 - 50kw Chargers,none,hpcp,1
San Francisco Premium Outlets,"2774 Livermore Outlets Dr, Livermore, CA, 94551",2 - 50kw Chargers,none,nrg_settlment,1
City of Visalia,"320 E Acequia Ave., Visalia, CA, 93291",2 - 50kw Chargers,none,nrg_settlment,1
Cupertino Village,"10869 N Wolfe Rd, Cupertino, CA, 95014",2 - 50kw Chargers,none,nrg_settlment,1
Whole Foods Santa Cruz,"911 Soquel Ave, Santa Cruz, CA, 95062",2 - 50kw Chargers,none,nrg_settlment,1
Rialto Market Place,"1310 S Riverside Ave, Rialto, CA, 92376",2 - 50kw Chargers,none,nrg_settlment,1
Santee Trolley,"9846 Mission Gorge Rd, Santee, CA, 92071",2 - 50kw Chargers,none,nrg_settlment,1
New Leaf Half Moon Bay,"150 San Mateo Rd, Half Moon Bay, CA, 94019",2 - 50kw Chargers,none,nrg_settlment,1
Whole Foods San Francisco (SOMA),"399 4th St, San Francisco, CA, 94107",2 - 50kw Chargers,none,nrg_settlment,1
Westlake Shopping Center,"75 Southgate Ave, Daly City, CA, 94015",2 - 50kw Chargers,none,nrg_settlment,1
Whole Foods San Francisco (Ocean Ave),"1150 Ocean Ave, San Francisco, CA, 94112",2 - 50kw Chargers,none,nrg_settlment,1
Whole Foods Fremont,"3111 Mowry Ave, Fremont, CA, 94538",2 - 50kw Chargers,none,nrg_settlment,1
Fashion Valley,"7007 Friars Rd, San Diego, CA, 92108",2 - 50kw Chargers,none,nrg_settlment,1
WinCo - Moreno Valley,"12882 Day St, Moreno Valley, CA, 92553",2 - 50kw Chargers,none,nrg_settlment,1
Camarillo Premium Outlets,"990 Camarillo Center Dr, Camarillo, CA, 93010",2 - 50kw Chargers,none,nrg_settlment,1
Las Americas Premium Outlets,"4211 Camino de la Plz, San Ysidro, CA, 92173",2 - 50kw Chargers,none,nrg_settlment,1
Vacaville Premium Outlets,"321 Nut Tree Rd, Vacaville, CA, 95687",1 - 50kw Chargers,none,nrg_settlment,1
Whole Foods San Francisco (Market Street),"2001 Market St, San Francisco, CA, 94114",2 - 50kw Chargers,none,nrg_settlment,1
Broadway Plaza,"1142 Broadway, Chula Vista, CA, 91911",2 - 50kw Chargers,none,nrg_settlment,1
Flower Hill Promenade,"2600 Via de la Valle, Del Mar, CA, 92014",2 - 50kw Chargers,none,nrg_settlment,1
